2026-01-25 18:43:27 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:43:27 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:43:27 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:43:27 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:43:31 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:43:32 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:43:32 | method=OPTIONS | path=/api/auth/logout | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.logout
2026-01-25 18:43:32 | method=POST | path=/api/auth/logout | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=auth.logout
2026-01-25 18:43:45 | method=OPTIONS | path=/api/auth/login | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login
2026-01-25 18:43:46 | method=POST | path=/api/auth/login | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login
2026-01-25 18:48:05 | method=OPTIONS | path=/api/auth/laboratory/reservations | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.laboratory_reservations
2026-01-25 18:48:05 | method=GET | path=/api/auth/laboratory/reservations | status=200 | identity=1 | ip=127.0.0.1 | endpoint=auth.laboratory_reservations
2026-01-25 18:50:46 | method=OPTIONS | path=/api/auth/laboratory | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.laboratory_request
2026-01-25 18:50:46 | method=POST | path=/api/auth/laboratory | status=201 | identity=1 | ip=127.0.0.1 | endpoint=auth.laboratory_request
2026-01-25 18:50:56 | method=OPTIONS | path=/api/auth/laboratory/reservations | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.laboratory_reservations
2026-01-25 18:50:56 | method=OPTIONS | path=/api/auth/laboratory/reservations | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.laboratory_reservations
2026-01-25 18:50:56 | method=GET | path=/api/auth/laboratory/reservations | status=200 | identity=1 | ip=127.0.0.1 | endpoint=auth.laboratory_reservations
2026-01-25 18:50:56 | method=GET | path=/api/auth/laboratory/reservations | status=200 | identity=1 | ip=127.0.0.1 | endpoint=auth.laboratory_reservations
2026-01-25 18:51:31 | method=OPTIONS | path=/api/auth/laboratory | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.laboratory_request
2026-01-25 18:51:31 | method=POST | path=/api/auth/laboratory | status=409 | identity=1 | ip=127.0.0.1 | endpoint=auth.laboratory_request
2026-01-25 19:04:24 | method=POST | path=/api/auth/register | status=201 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register
2026-01-25 19:04:24 | method=POST | path=/api/auth/login | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login
2026-01-25 19:04:24 | method=POST | path=/api/auth/logout | status=200 | identity=1 | ip=127.0.0.1 | endpoint=auth.logout
2026-01-25 19:04:24 | method=POST | path=/api/auth/register | status=201 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register
2026-01-25 19:04:25 | method=POST | path=/api/auth/login | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login
2026-01-25 19:04:25 | method=POST | path=/api/auth/laboratory | status=201 | identity=1 | ip=127.0.0.1 | endpoint=auth.laboratory_request
2026-01-25 19:04:25 | method=GET | path=/api/auth/laboratory/reservations | status=200 | identity=1 | ip=127.0.0.1 | endpoint=auth.laboratory_reservations
2026-01-25 19:04:25 | method=POST | path=/api/auth/register | status=201 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register
2026-01-25 19:04:25 | method=POST | path=/api/auth/register-admin | status=201 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register_admin_route
2026-01-25 19:04:25 | method=POST | path=/api/auth/login-admin | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login_admin_route
2026-01-25 19:04:25 | method=POST | path=/api/auth/login | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login
2026-01-25 19:04:25 | method=POST | path=/api/auth/laboratory | status=201 | identity=1 | ip=127.0.0.1 | endpoint=auth.laboratory_request
2026-01-25 19:04:25 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 19:04:25 | method=PATCH | path=/api/admin/users/1 | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_update_user
2026-01-25 19:04:25 | method=GET | path=/api/admin/laboratories | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_laboratories
2026-01-25 19:04:25 | method=PATCH | path=/api/admin/laboratories/1 | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_update_laboratory
2026-01-25 19:04:25 | method=DELETE | path=/api/admin/laboratories/1 | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_delete_laboratory
2026-01-25 19:04:25 | method=DELETE | path=/api/admin/users/1 | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_delete_user
2026-01-25 19:04:41 | method=POST | path=/api/auth/register | status=201 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register
2026-01-25 19:04:41 | method=POST | path=/api/auth/login | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login
2026-01-25 19:04:41 | method=POST | path=/api/auth/logout | status=200 | identity=1 | ip=127.0.0.1 | endpoint=auth.logout
2026-01-25 19:04:41 | method=POST | path=/api/auth/register | status=201 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register
2026-01-25 19:04:41 | method=POST | path=/api/auth/login | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login
2026-01-25 19:04:41 | method=POST | path=/api/auth/laboratory | status=201 | identity=1 | ip=127.0.0.1 | endpoint=auth.laboratory_request
2026-01-25 19:04:41 | method=GET | path=/api/auth/laboratory/reservations | status=200 | identity=1 | ip=127.0.0.1 | endpoint=auth.laboratory_reservations
2026-01-25 19:04:41 | method=POST | path=/api/auth/register | status=201 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register
2026-01-25 19:04:41 | method=POST | path=/api/auth/register-admin | status=201 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register_admin_route
2026-01-25 19:04:41 | method=POST | path=/api/auth/login-admin | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login_admin_route
2026-01-25 19:04:41 | method=POST | path=/api/auth/login | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login
2026-01-25 19:04:41 | method=POST | path=/api/auth/laboratory | status=201 | identity=1 | ip=127.0.0.1 | endpoint=auth.laboratory_request
2026-01-25 19:04:41 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 19:04:41 | method=PATCH | path=/api/admin/users/1 | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_update_user
2026-01-25 19:04:41 | method=GET | path=/api/admin/laboratories | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_laboratories
2026-01-25 19:04:41 | method=PATCH | path=/api/admin/laboratories/1 | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_update_laboratory
2026-01-25 19:04:41 | method=DELETE | path=/api/admin/laboratories/1 | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_delete_laboratory
2026-01-25 19:04:41 | method=DELETE | path=/api/admin/users/1 | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_delete_user
